"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\dev\pygame\new-platformer\crafting\recipes.py", "Python", 5, 0, 0, 0, 5
"d:\dev\pygame\new-platformer\globals.py", "Python", 7, 0, 1, 1, 9
"d:\dev\pygame\new-platformer\groups\camera.py", "Python", 26, 0, 0, 6, 32
"d:\dev\pygame\new-platformer\inventory\inventory.py", "Python", 171, 0, 16, 21, 208
"d:\dev\pygame\new-platformer\inventory\inventorydata.json", "JSON", 0, 1, 0, 0, 1
"d:\dev\pygame\new-platformer\main.py", "Python", 53, 0, 2, 7, 62
"d:\dev\pygame\new-platformer\sprites\player.py", "Python", 159, 0, 16, 9, 184
"d:\dev\pygame\new-platformer\sprites\tile.py", "Python", 86, 0, 2, 8, 96
"d:\dev\pygame\new-platformer\ui\menus.py", "Python", 35, 0, 1, 8, 44
"d:\dev\pygame\new-platformer\utils\animations.py", "Python", 32, 0, 0, 2, 34
"d:\dev\pygame\new-platformer\utils\controls.py", "Python", 8, 0, 0, 1, 9
"d:\dev\pygame\new-platformer\utils\events.py", "Python", 38, 0, 0, 1, 39
"d:\dev\pygame\new-platformer\utils\state.py", "Python", 9, 0, 1, 0, 10
"d:\dev\pygame\new-platformer\world\itemdata.py", "Python", 89, 0, 0, 5, 94
"d:\dev\pygame\new-platformer\world\prefabs.py", "Python", 8, 0, 0, 0, 8
"d:\dev\pygame\new-platformer\world\scene.py", "Python", 208, 0, 8, 21, 237
"d:\dev\pygame\new-platformer\world\texturedata.py", "Python", 62, 0, 0, 4, 66
"Total", "-", 996, 1, 47, 94, 1138
