"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\dev\pygame\new-platformer\crafting\recipes.py", "Python", 5, 0, 0, 0, 5
"d:\dev\pygame\new-platformer\globals.py", "Python", 7, 0, 1, 1, 9
"d:\dev\pygame\new-platformer\groups\camera.py", "Python", 26, 0, 0, 6, 32
"d:\dev\pygame\new-platformer\inventory\inventory.py", "Python", 208, 0, 18, 20, 246
"d:\dev\pygame\new-platformer\inventory\inventorydata.json", "JSON", 0, 1, 0, 0, 1
"d:\dev\pygame\new-platformer\main.py", "Python", 53, 0, 2, 7, 62
"d:\dev\pygame\new-platformer\sprites\player.py", "Python", 184, 0, 16, 10, 210
"d:\dev\pygame\new-platformer\sprites\tile.py", "Python", 98, 0, 2, 9, 109
"d:\dev\pygame\new-platformer\ui\menus.py", "Python", 35, 0, 1, 8, 44
"d:\dev\pygame\new-platformer\utils\animations.py", "Python", 32, 0, 0, 2, 34
"d:\dev\pygame\new-platformer\utils\controls.py", "Python", 8, 0, 0, 1, 9
"d:\dev\pygame\new-platformer\utils\events.py", "Python", 38, 0, 0, 1, 39
"d:\dev\pygame\new-platformer\utils\state.py", "Python", 9, 0, 1, 0, 10
"d:\dev\pygame\new-platformer\world\drops.py", "Python", 54, 0, 2, 4, 60
"d:\dev\pygame\new-platformer\world\itemdata.py", "Python", 87, 0, 0, 5, 92
"d:\dev\pygame\new-platformer\world\prefabs.py", "Python", 8, 0, 0, 0, 8
"d:\dev\pygame\new-platformer\world\scene.py", "Python", 216, 0, 8, 21, 245
"d:\dev\pygame\new-platformer\world\texturedata.py", "Python", 65, 0, 0, 3, 68
"Total", "-", 1133, 1, 51, 98, 1283
